company_name,category,addr_street,addr_number,addr_city
KKR Financial Holdings LLC,n/a,Dryden,8,Orsay
Global X Yieldco Index ETF,n/a,Marcy,3,Annecy
trivago N.V.,n/a,High Crossing,01767,Pingling
Macquarie/First Trust Global,n/a,Maryland,2658,Tabio
"Barnes & Noble Education, Inc",Consumer Services,Bunting,671,Järfälla
"KCAP Financial, Inc.",n/a,Ridgeview,38,Wydminy
"Limbach Holdings, Inc.",Basic Industries,Bluejay,4261,Moss
BiondVax Pharmaceuticals Ltd.,Health Care,Amoth,7,Rizó
"Colony NorthStar, Inc.",n/a,Judy,94,Tílisos
Shore Bancshares Inc,Finance,Autumn Leaf,6,Lagoa
PBF Energy Inc.,Energy,Hagan,9002,Shicha
FlexShares STOXX Global ESG Impact Index Fund,n/a,Brentwood,86317,Longsheng
Cott Corporation,Consumer Non-Durables,East,2048,Rakhiv
"Threshold Pharmaceuticals, Inc.",Health Care,Boyd,34888,Arbeláez
Stone Harbor Emerging Markets Income Fund,n/a,Monterey,75,Redange-sur-Attert
Taro Pharmaceutical Industries Ltd.,Health Care,Raven,2,Višnjićevo
PennyMac Mortgage Investment Trust,n/a,Gale,23515,Khawr Maksar
Bank of America Corporation,n/a,Raven,04,Ciro Redondo
Nuveen Intermediate Duration Municipal Term Fund,n/a,Portage,2567,Pasirreungit
Veritiv Corporation,Consumer Services,Monica,1565,Ketawang
Immune Design Corp.,Health Care,Arapahoe,020,Diapaga
First Trust Brazil AlphaDEX Fund,n/a,Tennessee,7685,Nebug
Gladstone Capital Corporation,n/a,Birchwood,210,Kaminokawa
"Agile Therapeutics, Inc.",Health Care,Melody,60145,Malangabang
"Tableau Software, Inc.",Technology,Gulseth,7903,Kendayakan
Aegion Corp,Basic Industries,Ohio,1409,San Eduardo
Five Oaks Investment Corp.,n/a,Meadow Ridge,403,Portalegre
First Trust NASDAQ-100 Equal Weighted Index Fund,n/a,Oneill,71911,Kallífytos
"SunOpta, Inc.",Consumer Services,Lukken,80,Sunja
"Extreme Networks, Inc.",Technology,Mockingbird,1958,Caucaguita
"Rambus, Inc.",Technology,Dahle,00742,Xuanma
Realty Income Corporation,Consumer Services,Carberry,67,Qianjin
trivago N.V.,n/a,Bultman,62416,Emiliano Zapata
AngloGold Ashanti Limited,Basic Industries,Moose,733,Inowrocław
"Freshpet, Inc.",Consumer Non-Durables,Petterle,7545,Cachoeirinha
"Aviat Networks, Inc.",Technology,Hermina,2083,Volovets
Sun Life Financial Inc.,Finance,Superior,9524,Limeiras
Landmark Infrastructure Partners LP,Consumer Services,Declaration,866,Tsushima
"Extreme Networks, Inc.",Technology,Debs,8535,Concepción del Uruguay
"Eyegate Pharmaceuticals, Inc.",Health Care,Morning,0,Brzączowice
"Western Gas Partners, LP",Public Utilities,Amoth,48,Estoi
"Navigant Consulting, Inc.",Consumer Services,Dixon,6357,Minian
Netshoes (Cayman) Limited,Consumer Services,Anthes,6818,Pidsandawan
Protective Life Corporation,n/a,Hauk,63153,Shibetsu
Bank of America Corporation,n/a,Susan,02779,Jilma
Sotherly Hotels LP,Consumer Services,Transport,1238,Huaniao
Western Asset Mortgage Capital Corporation,Consumer Services,6th,97453,Hammam-Lif
Lattice Semiconductor Corporation,Technology,Butterfield,52,Xiaohekou
"Steel Dynamics, Inc.",Basic Industries,American,8,Kalijeruk
Innocoll Holdings,Health Care,Dakota,7926,Byala Slatina
Zumiez Inc.,Consumer Services,Basil,496,Winter Haven
iPath US Treasury Long Bond Bull ETN,Finance,Merry,4,Klyuchevskiy
Daily Journal Corp. (S.C.),Consumer Services,Grim,21176,Rāipur
"Orexigen Therapeutics, Inc.",Health Care,Mccormick,8705,Hanyuan
Consolidated Edison Inc,Public Utilities,Harbort,84,Tiblawan
"Equinix, Inc.",Consumer Services,Banding,07024,Charlesland
"SunOpta, Inc.",Consumer Services,Kim,8,Elías
Grupo Supervielle S.A.,Finance,Green Ridge,50,Chiquinquirá
Farmland Partners Inc.,Consumer Services,Morrow,55130,Zhuanqukou
"Lexicon Pharmaceuticals, Inc.",Health Care,Division,9,Ptghunk’
"ING Group, N.V.",Finance,Merry,1,Kolpny
"Harvard Bioscience, Inc.",Capital Goods,Tennyson,5321,Polloc
Baozun Inc.,Consumer Services,Bayside,3086,Encantado
"Manhattan Associates, Inc.",Technology,Hintze,6308,Weyburn
Apartment Investment and Management Company,Consumer Services,Rusk,9304,Tengah
General Electric Capital Corporation,Energy,Heffernan,40,Depok
"PS Business Parks, Inc.",n/a,Oxford,918,Ardino
"ANSYS, Inc.",Technology,Blue Bill Park,39,Jinniu
"Ra Pharmaceuticals, Inc.",Health Care,Fuller,65,Kuncen
The Carlyle Group L.P.,Finance,Corry,64074,Riofrío
New Senior Investment Group Inc.,Consumer Services,Surrey,98,Ranot
"Heartland Financial USA, Inc.",Finance,Shoshone,10767,Le Havre
BioShares Biotechnology Products Fund,n/a,Barnett,7766,Évry
Itau Unibanco Banco Holding SA,Finance,Ilene,9173,Dalupaon
"Gardner Denver Holdings, Inc.",Technology,Declaration,3,Nortelândia
Seacoast Banking Corporation of Florida,Finance,Dryden,21,Shilong
"Clean Harbors, Inc.",Basic Industries,Knutson,8256,Sbo’o
"Stemline Therapeutics, Inc.",Health Care,Steensland,6,Krajan
CBX (Listing Market NYSE Networks AE,n/a,Shoshone,73153,Curridabat
Capitol Acquisition Corp. III,Finance,Kropf,7243,Inayauan
Barclays PLC,n/a,2nd,64,Zhetian
"Marinus Pharmaceuticals, Inc.",Health Care,Hazelcrest,77655,Canmang
"Rave Restaurant Group, Inc.",Consumer Non-Durables,Kensington,70323,Jaú
"Badger Meter, Inc.",Capital Goods,Waxwing,1648,Charras
DISH Network Corporation,Consumer Services,David,4,Tarikolot
Netshoes (Cayman) Limited,Consumer Services,Hermina,58,Camagüey
"Summit Hotel Properties, Inc.",Consumer Services,Southridge,11753,Topeka
"STARWOOD PROPERTY TRUST, INC.",Consumer Services,Park Meadow,71,Xiayang
"BioDelivery Sciences International, Inc.",Health Care,Havey,475,Killorglin
"Mexico Fund, Inc. (The)",n/a,Beilfuss,697,La Paz
Lehman ABS Corporation,Finance,Scoville,78365,Duma
Kemper Corporation,Finance,Old Gate,60677,Kouvola
"Seattle Genetics, Inc.",Health Care,Nobel,6058,Tabaga
Raytheon Company,Capital Goods,Mayfield,393,Stockholm
Cemtrex Inc.,Capital Goods,Algoma,646,San Bernardino
Citigroup Inc.,n/a,Lerdahl,5085,Mosoc Llacta
VictoryShares Developed Enhanced Volatility Wtd ETF,n/a,Tennessee,99848,Curug
"Donegal Group, Inc.",Finance,Rieder,32,Boyarka
Vident Core US Equity ETF,n/a,Southridge,1829,Gombangan
"Werner Enterprises, Inc.",Transportation,Charing Cross,57,Krzęcin
Atento S.A.,Public Utilities,Crescent Oaks,09099,Municipio de Copacabana
"Discovery Communications, Inc.",Consumer Services,Florence,948,Janikowo
CHS Inc,Consumer Services,Morningstar,1,Ayapa
CRH PLC,Capital Goods,Rockefeller,82,Fort Wayne
John Hancock Preferred Income Fund,n/a,Macpherson,18251,Kandi
Kimco Realty Corporation,n/a,Algoma,4069,Stuttgart Stuttgart-Mitte
Monroe Capital Corporation,n/a,Evergreen,15,Mujães
Rayonier Advanced Materials Inc.,Basic Industries,Ronald Regan,552,Rēzekne
Pimco High Income Fund,n/a,Autumn Leaf,21332,Ōkawara
Urstadt Biddle Properties Inc.,Consumer Services,Southridge,99,Namerikawa
58.com Inc.,Technology,Northfield,318,Maracanaú
"Smith Micro Software, Inc.",Technology,Boyd,701,Suozhen
"NI Holdings, Inc.",Finance,Rutledge,392,Enzan
"Templeton Emerging Markets Income Fund, Inc.",n/a,Kennedy,7,La Loma
Legg Mason US Diversified Core ETF,n/a,Larry,9,Qingqu
Asia Pacific Wire & Cable Corporation Limited,Basic Industries,Chive,1,Untolovo
Mastercard Incorporated,Miscellaneous,Walton,93090,Hualongyan
Advent/Claymore Enhanced Growth & Income Fund,n/a,Alpine,7,Oeleon
"Apptio, Inc.",Technology,Nancy,26977,Sathon
RAIT Financial Trust,Consumer Services,Charing Cross,22,Wuduhe
The9 Limited,Miscellaneous,2nd,35,Barcelona
X-Links Silver Shares Covered Call ETN,Finance,Fallview,681,Brijest
Costamare Inc.,n/a,Hermina,890,Mangli
Hubbell Inc,Capital Goods,Loftsgordon,6356,Ronov nad Doubravou
E.I. du Pont de Nemours and Company,Basic Industries,Twin Pines,61,Chyhyryn
OM Asset Management plc,Finance,Arizona,26991,Čelopek
Methanex Corporation,Basic Industries,Waywood,3,Jingyao
Magellan Midstream Partners L.P.,Energy,Forest,47,Cipeundeuy
Kimbell Royalty Partners,Energy,Meadow Ridge,9764,Qandala
PAVmed Inc.,Health Care,Sherman,2,Peterhof
Legg Mason Global Infrastructure ETF,n/a,Truax,10,Lydenburg
Ecopetrol S.A.,Energy,Vermont,1,Nariño
